TicketType,TrainType,StationNo,StationName,TransactionDate,Enter,Exit
一般,捷運,R12,後驛站,20210622 21:30:00,5,6
一般,捷運,R12,後驛站,20210622 21:45:00,5,6
一般,捷運,R12,後驛站,20210622 22:00:00,8,6
一般,捷運,R12,後驛站,20210622 22:15:00,5,3
一般,捷運,R12,後驛站,20210622 22:30:00,0,8
一般,捷運,R12,後驛站,20210622 22:45:00,0,4
一般,捷運,R12,後驛站,20210622 23:00:00,5,3
一般,捷運,R12,後驛站,20210622 23:15:00,2,4
一般,捷運,R11,高雄車站,20210622 05:30:00,3,0
一般,捷運,R11,高雄車站,20210622 05:45:00,4,0
一般,捷運,R11,高雄車站,20210622 06:00:00,1,24
一般,捷運,R11,高雄車站,20210622 06:15:00,28,17
一般,捷運,R11,高雄車站,20210622 06:30:00,15,20
一般,捷運,R11,高雄車站,20210622 06:45:00,18,39
一般,捷運,R11,高雄車站,20210622 07:00:00,69,32
一般,捷運,R11,高雄車站,20210622 07:15:00,45,32
一般,捷運,R11,高雄車站,20210622 07:30:00,83,27
一般,捷運,R11,高雄車站,20210622 07:45:00,91,33
一般,捷運,R11,高雄車站,20210622 08:00:00,40,20
一般,捷運,R11,高雄車站,20210622 08:15:00,59,21
一般,捷運,R11,高雄車站,20210622 08:30:00,21,19
一般,捷運,R11,高雄車站,20210622 08:45:00,31,16
一般,捷運,R11,高雄車站,20210622 09:00:00,17,18
一般,捷運,R11,高雄車站,20210622 09:15:00,23,8
一般,捷運,R11,高雄車站,20210622 09:30:00,24,16
一般,捷運,R11,高雄車站,20210622 09:45:00,17,7
一般,捷運,R11,高雄車站,20210622 10:00:00,12,11
一般,捷運,R11,高雄車站,20210622 10:15:00,30,13
一般,捷運,R11,高雄車站,20210622 10:30:00,10,18
一般,捷運,R11,高雄車站,20210622 10:45:00,43,11
一般,捷運,R11,高雄車站,20210622 11:00:00,5,15
一般,捷運,R11,高雄車站,20210622 11:15:00,8,6
一般,捷運,R11,高雄車站,20210622 11:30:00,20,12
一般,捷運,R11,高雄車站,20210622 11:45:00,22,9
一般,捷運,R11,高雄車站,20210622 12:00:00,21,17
一般,捷運,R11,高雄車站,20210622 12:15:00,13,11
